time,mrid,value
1672531200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,250000.0
1672531200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,200000.0
1672531200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,100000.0
1672531200,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672531200,_50310945-A608-4A94-98A9-B6E45510F0BF,125000.0
1672531800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,250000.0
1672531800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,200000.0
1672531800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,100000.0
1672531800,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672531800,_50310945-A608-4A94-98A9-B6E45510F0BF,125000.0
1672532400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,250000.0
1672532400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,200000.0
1672532400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,100000.0
1672532400,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672532400,_50310945-A608-4A94-98A9-B6E45510F0BF,125000.0
1672533000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,250000.0
1672533000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,64537.64246729679
1672533000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,32268.821233648596
1672533000,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672533000,_50310945-A608-4A94-98A9-B6E45510F0BF,125000.0
1672533600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,250000.0
1672533600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,19129.72211872142
1672533600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,9564.861059360474
1672533600,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672533600,_50310945-A608-4A94-98A9-B6E45510F0BF,125000.0
1672534200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,180749.75207083306
1672534200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,5028.7843661188845
1672534200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,2514.392183060069
1672534200,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672534200,_50310945-A608-4A94-98A9-B6E45510F0BF,125000.0
1672534800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,51635.07813651103
1672534800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,911.6002599406556
1672534800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,455.8001299702709
1672534800,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672534800,_50310945-A608-4A94-98A9-B6E45510F0BF,125000.0
1672535400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,6994.192031385303
1672535400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,1.8201249686740084
1672535400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,0.9100624826601234
1672535400,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672535400,_50310945-A608-4A94-98A9-B6E45510F0BF,125000.0
1672536000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,-1217.767050281121
1672536000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,-68.896224271775
1672536000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,-34.44811213504373
1672536000,_B42011D9-38A0-4D06-8C84-49836267E66B,-0.0
1672536000,_50310945-A608-4A94-98A9-B6E45510F0BF,-7.704947790898586e-11
1672536600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,-649.3939128078274
1672536600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,-25.955157893742253
1672536600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,-12.97757894653806
1672536600,_B42011D9-38A0-4D06-8C84-49836267E66B,-0.0
1672536600,_50310945-A608-4A94-98A9-B6E45510F0BF,-5.3290705182007514e-11
1672537200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,-223.62352394150741
1672537200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,-8.80525047202152
1672537200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,-4.4026252357554085
1672537200,_B42011D9-38A0-4D06-8C84-49836267E66B,-0.0
1672537200,_50310945-A608-4A94-98A9-B6E45510F0BF,-7.682743330406083e-11
1672537800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,-50.13801584133337
1672537800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,-1.9485266319119177
1672537800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,-0.9742633158449365
1672537800,_B42011D9-38A0-4D06-8C84-49836267E66B,-0.0
1672537800,_50310945-A608-4A94-98A9-B6E45510F0BF,-3.9745984281580604e-11
1672538400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,-9.655121187390758
1672538400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,-0.3700041655729791
1672538400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,-0.18500208267546725
1672538400,_B42011D9-38A0-4D06-8C84-49836267E66B,-0.0
1672538400,_50310945-A608-4A94-98A9-B6E45510F0BF,-5.906386491005833e-11
1672539000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,-0.7040714053072605
1672539000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,-0.025187475838350792
1672539000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,-0.012593737741539712
1672539000,_B42011D9-38A0-4D06-8C84-49836267E66B,0.0
1672539000,_50310945-A608-4A94-98A9-B6E45510F0BF,0.0
1672539600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,0.34508952414569194
1672539600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,0.013971018404390634
1672539600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,0.006985509500623266
1672539600,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672539600,_50310945-A608-4A94-98A9-B6E45510F0BF,99433.92726531901
1672540200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,0.14149910327887483
1672540200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,0.005628004259961017
1672540200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,0.0028140023147216198
1672540200,_B42011D9-38A0-4D06-8C84-49836267E66B,150000.0
1672540200,_50310945-A608-4A94-98A9-B6E45510F0BF,33416.72361016928
1672540800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,0.039179292749214056
1672540800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,0.0015516113762714667
1672540800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,0.0007758058195861395
1672540800,_B42011D9-38A0-4D06-8C84-49836267E66B,54266.24432459592
1672540800,_50310945-A608-4A94-98A9-B6E45510F0BF,8578.416326617984
1672541400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,0.005976825375619832
1672541400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,0.0002351802752542653
1672541400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,0.00011759020424051414
1672541400,_B42011D9-38A0-4D06-8C84-49836267E66B,10661.23380540318
1672541400,_50310945-A608-4A94-98A9-B6E45510F0BF,1135.0542015306498
1672542000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,0.0009441675774546354
1672542000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,3.686837501959417e-05
1672542000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,1.843396546519216e-05
1672542000,_B42011D9-38A0-4D06-8C84-49836267E66B,2105.241290194286
1672542000,_50310945-A608-4A94-98A9-B6E45510F0BF,146.35768228276902
1672542600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,0.0002469661142256996
1672542600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,9.625233943211242e-06
1672542600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,4.8124171314611885e-06
