time,load_pv_a,load_pv_b,load_pv_c,load_pv_batt_a,load_pv_batt_b,load_pv_batt_c,status
1672531200,587.447,385.709,481.344,312.447,110.709,206.344,optimal
1672531800,449.014,292.803,366.281,174.014,17.803,91.281,optimal
1672532400,430.665,280.699,351.257,155.665,5.699,76.257,optimal
1672533000,425.564,277.336,347.082,218.295,70.067,139.813,optimal
1672533600,418.992,273.094,341.802,234.427,88.529,157.237,optimal
1672534200,415.661,270.930,339.109,261.230,116.499,184.678,optimal
1672534800,408.498,266.242,333.303,299.164,156.907,223.969,optimal
1672535400,411.177,268.054,335.591,317.178,174.055,241.592,optimal
1672536000,408.243,266.137,333.221,408.683,266.577,333.661,optimal
1672536600,414.375,270.285,338.414,414.604,270.515,338.643,optimal
1672537200,416.190,271.476,339.891,416.269,271.555,339.970,optimal
1672537800,428.419,279.555,349.927,428.436,279.573,349.944,optimal
1672538400,438.632,286.301,358.302,438.636,286.305,358.306,optimal
1672539000,459.842,300.324,375.700,459.842,300.325,375.700,optimal
1672539600,459.462,300.049,375.353,376.318,216.904,292.208,optimal
1672540200,472.014,308.276,385.513,410.875,247.137,324.374,optimal
1672540800,475.962,310.939,388.791,455.014,289.990,367.842,optimal
1672541400,476.615,311.408,389.415,472.683,307.476,385.483,optimal
1672542000,498.647,326.022,407.541,497.896,325.272,406.790,optimal
1672542600,501.892,328.177,410.213,501.687,327.972,410.008,optimal
1672543200,529.872,346.750,433.198,529.826,346.704,433.152,optimal
1672543800,540.279,353.666,441.750,540.269,353.656,441.740,optimal
1672544400,572.747,375.266,468.438,572.745,375.265,468.436,optimal
1672545000,597.926,392.051,489.154,597.926,392.051,489.154,optimal
1672545600,604.930,396.724,494.918,604.930,396.724,494.918,optimal
1672546200,608.426,399.057,497.795,608.426,399.057,497.795,optimal
1672546800,626.950,411.428,513.044,626.950,411.428,513.044,optimal
1672547400,627.540,411.814,513.516,627.540,411.814,513.516,optimal
1672548000,634.867,416.720,519.562,634.867,416.720,519.562,optimal
1672548600,661.407,434.478,541.425,661.407,434.478,541.425,optimal
1672549200,683.571,449.330,559.693,683.571,449.330,559.693,optimal
1672549800,676.915,444.856,554.188,676.915,444.856,554.188,optimal
1672550400,706.009,464.386,578.195,706.009,464.386,578.195,optimal
1672551000,730.926,481.124,598.742,730.926,481.124,598.742,optimal
1672551600,737.165,485.329,603.904,737.165,485.329,603.904,optimal
1672552200,730.536,480.870,598.433,730.536,480.870,598.433,optimal
1672552800,745.281,490.791,610.604,745.281,490.791,610.604,optimal
1672553400,760.701,501.161,623.313,760.701,501.161,623.313,optimal
1672554000,745.296,490.781,610.586,745.296,490.781,610.586,optimal
1672554600,744.822,490.451,610.178,744.822,490.451,610.178,optimal
1672555200,752.685,495.776,616.717,752.685,495.776,616.717,optimal
1672555800,752.909,495.927,616.902,752.909,495.927,616.902,optimal
1672556400,766.181,504.864,627.854,766.181,504.864,627.854,optimal
1672557000,763.055,502.504,624.887,763.055,502.504,624.887,optimal
1672557600,735.985,482.124,599.265,735.985,482.124,599.265,optimal
1672558200,606.441,376.936,464.924,606.441,376.936,464.924,optimal
1672558800,330.070,152.977,178.748,330.070,152.977,178.748,optimal
1672559400,680.812,440.670,547.131,680.812,440.670,547.131,optimal
1672560000,690.388,449.460,558.599,690.388,449.460,558.599,optimal
1672560600,666.152,431.459,535.995,666.152,431.459,535.995,optimal
1672561200,655.646,423.109,525.369,655.646,423.109,525.369,optimal
1672561800,636.278,408.791,507.397,636.278,408.791,507.397,optimal
1672562400,609.974,389.170,482.714,609.974,389.170,482.714,optimal
1672563000,582.411,367.913,455.791,582.411,367.913,455.791,optimal
1672563600,554.795,347.063,429.480,554.795,347.063,429.480,optimal
1672564200,541.063,335.534,414.654,541.063,335.534,414.654,optimal
1672564800,518.446,317.913,392.281,518.446,317.913,392.281,optimal
1672565400,505.402,306.109,376.923,505.402,306.109,376.923,optimal
