time,mrid,battery,phases,p_a,p_b,p_c,soc
1672531200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,83.333333333,83.333333333,83.333333333,55.00000000000001
1672531200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,66.666666667,66.666666667,66.666666667,40.0
1672531200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,33.333333333,33.333333333,33.333333333,35.0
1672531200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,50.0,50.0,50.0,75.0
1672531200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,41.666666667,41.666666667,41.666666667,60.0
1672531800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,49.35314513658023
1672531800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,34.353145136580274
1672531800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-33.333333333,-33.333333333,-33.333333333,30.76485885243521
1672531800,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,69.91783062292224
1672531800,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,55.76485885243516
1672532400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,43.521106786358786
1672532400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,28.52110678635883
1672532400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-33.333333333,-33.333333333,-33.333333333,26.390830089769135
1672532400,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,64.66899610772293
1672532400,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,51.39083008976905
1672533000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,37.68906843613734
1672533000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-66.666666667,-66.666666667,-66.666666667,22.689068436137383
1672533000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-33.333333333,-33.333333333,-33.333333333,22.01680132710304
1672533000,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,59.42016159252363
1672533000,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,47.01680132710296
1672533600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,31.857030085915895
1672533600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-21.512547489,-21.512547489,-21.512547489,20.797071754946725
1672533600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-10.756273745,-10.756273745,-10.756273745,20.597803816210032
1672533600,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,54.171327077324314
1672533600,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,42.64277256443689
1672534200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-83.333333333,-83.333333333,-83.333333333,26.024991735694442
1672534200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-6.37657404,-6.37657404,-6.37657404,20.209532681921623
1672534200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-3.18828702,-3.18828702,-3.18828702,20.157149511441215
1672534200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,48.92249256212501
1672534200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,38.26874380177082
1672534800,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-60.249917357,-60.249917357,-60.249917357,21.72116927121704
1672534800,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-1.6762614550000001,-1.6762614550000001,-1.6762614550000001,20.037983344164196
1672534800,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-0.838130728,-0.838130728,-0.838130728,20.028487508123128
1672534800,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,43.6736580469257
1672534800,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,33.894715039104746
1672535400,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-17.211692712,-17.211692712,-17.211692712,20.233139734379506
1672535400,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-0.303866753,-0.303866753,-0.303866753,20.00007583854036
1672535400,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-0.151933377,-0.151933377,-0.151933377,20.000056878905244
1672535400,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,38.424823531726396
1672535400,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,29.520686276438674
1672536000,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,-2.331397344,-2.331397344,-2.331397344,19.95940776499063
1672536000,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,-0.0006067080000000001,-0.0006067080000000001,-0.0006067080000000001,19.997129323988677
1672536000,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,-0.00030335400000000004,-0.00030335400000000004,-0.00030335400000000004,19.997846992991562
1672536000,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-50.0,-50.0,-50.0,33.17598901652708
1672536000,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,25.146657513772595
1672536600,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,0.40592235,0.40592235,0.40592235,19.97835353623974
1672536600,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,0.022965408,0.022965408,0.022965408,19.99891853508776
1672536600,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.011482704,0.011482704,0.011482704,19.999188901315843
1672536600,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,32.96603563591911
1672536600,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,0.0,0.0,0.0,24.971696363265952
1672537200,_5FBE0EB4-B59A-4F56-9CC9-C00AA433006C,battery5,ABC,0.21646463800000001,0.21646463800000001,0.21646463800000001,19.992545882535286
1672537200,_DC88677C-83A6-4B9A-A05F-578B8D5850EB,battery2,ABC,0.008651719,0.008651719,0.008651719,19.999633114563668
1672537200,_76CBB3CE-2D4C-4392-A1CD-AAEBC2AB5FA5,battery3,ABC,0.00432586,0.00432586,0.00432586,19.999724835922766
1672537200,_B42011D9-38A0-4D06-8C84-49836267E66B,battery4,ABC,-0.0,0.0,0.0,32.96603563591911
1672537200,_50310945-A608-4A94-98A9-B6E45510F0BF,battery1,ABC,0.0,0.0,0.0,24.971696363265952
