time,phase,p,q
1672531200,A,-525516.1888842297,726182.827547393
1672531200,B,666663.8719760048,-73682.09135326672
1672531200,C,-529392.2131550105,-567953.6418059375
1672531260,A,-315620.1678835414,-113394.57052946377
1672531260,B,102063.14759210724,-61641.68163480947
1672531260,C,172339.61273078257,128788.39832493207
1672531320,A,-328283.91647960775,-39302.2684456712
1672531320,B,-7357.288404525256,-116721.79498266982
1672531320,C,206874.06169328847,43908.07697638549
1672531380,A,-48151.15724272874,297857.66974597407
1672531380,B,-103173.73368954039,-13549.385018689893
1672531380,C,-178127.21940843228,-64279.028989138846
1672531440,A,274239.74440613226,-6199.0242485007575
1672531440,B,85476.18836998042,38874.8730059871
1672531440,C,167883.85629525268,-17791.196894379296
1672531500,A,-75651.8990744276,-238674.68242729668
1672531500,B,-84411.1834485367,-22321.51104081052
1672531500,C,-91358.7845483537,120711.97974621975
1672531560,A,-183989.49718102068,137886.37904270212
1672531560,B,77294.47159148609,32472.0224310231
1672531560,C,-56442.33171101585,-124853.89483449064
1672531620,A,181825.75791114382,109630.11858248695
1672531620,B,-23708.718880870372,-79244.1132441254
1672531620,C,123752.93264202042,-19075.803676003452
1672531680,A,103331.86322526497,-171411.6152996066
1672531680,B,-3265.274673769274,-82969.74320622889
1672531680,C,-94386.96028404786,69919.61205561037
1672531740,A,-146691.20468874814,-121343.04751220756
1672531740,B,82957.48324013976,-12940.080740078947
1672531740,C,77432.07718917429,-80296.46211677778
1672531800,A,-75041.43869675815,162792.19336124658
1672531800,B,63769.66439833686,57322.72686200042
1672531800,C,36202.471625100174,98816.25517122039
1672531860,A,149883.15321177078,82701.60588864454
1672531860,B,-87370.13906644932,-5271.096207599632
1672531860,C,-63217.07015525239,-78765.59394775196
1672531920,A,159508.05040300367,-50031.4544581103
1672531920,B,19874.483093378727,86308.84281488396
1672531920,C,-56856.45604773411,81057.22234420085
1672531980,A,168535.80161886493,12978.850782165613
1672531980,B,-52069.87629634155,71032.01921903445
1672531980,C,-99540.5090522376,8722.022162202797
1672532040,A,166619.29627429624,31574.027205355582
1672532040,B,-68162.08897337568,55550.0097282867
1672532040,C,-98817.72201614962,-16551.411359254365
1672532100,A,54288.92774983231,-153510.24455509096
1672532100,B,72477.74285267547,-53026.09858900932
1672532100,C,96689.51783381119,7291.289860259583
1672532160,A,-25847.227572014104,-158492.05951074976
1672532160,B,-6013.579227079242,-90288.3001981196
1672532160,C,47314.32361506997,-83476.71733803613
1672532220,A,-105087.18864683807,-118182.32367919089
1672532220,B,-83296.67876381327,-37304.271640179446
1672532220,C,-64593.32177083767,-69511.79909719869
1672532280,A,-127322.05087206665,-92258.14390309814
1672532280,B,-91554.11370344451,-1711.2073951672267
1672532280,C,-89108.12829770091,-31473.458149728423
1672532340,A,-96398.12060251586,-125760.53085152
1672532340,B,-77349.72998904309,-48254.93114703281
1672532340,C,-52581.62684813277,-79149.1517565328
1672532400,A,-18967.219755372826,-159654.20587815865
1672532400,B,1704.5290894371278,-90412.72048074227
1672532400,C,55268.74769059506,-78541.35349965662
1672532460,A,45260.00234370352,-156137.6674054926
1672532460,B,65785.47021272058,-61246.55457348511
1672532460,C,96696.21111043295,-5355.116375415296
1672532520,A,-148340.84010391205,-48073.41865075756
1672532520,B,-78418.17751150197,48125.08308853628
1672532520,C,-88094.90756598857,32683.902186537976
1672532580,A,-135778.14492431734,-78433.08516120078
1672532580,B,-90388.20217404822,15537.678609925973
1672532580,C,-93747.48910485399,-10401.78705280282
1672532640,A,-152342.37234008012,-31068.072761459556
1672532640,B,-67405.49808913397,62855.77887925603
1672532640,C,-77236.47242559509,53180.46913630538
1672532700,A,-136461.11231259754,68785.80374684295
1672532700,B,30472.708978489263,87974.88061804707
1672532700,C,44231.12813323957,81481.5585170038
1672532760,A,-146069.26101894438,46947.04784044434
1672532760,B,6473.847225404904,92657.69111850523
1672532760,C,14522.766344004669,91810.51606770771
1672532820,A,-129491.19961852739,80493.30746820346
1672532820,B,43291.87195502658,82567.55214434546
1672532820,C,59056.03664631388,71295.90699158215
1672532880,A,-146777.96998828513,44874.65468425578
1672532880,B,4219.999983715201,92767.57395387322
1672532880,C,11654.396048686642,92240.87429860157
1672532940,A,-153433.5965012682,15872.413964204496
1672532940,B,-26215.780898857025,88802.6094376214
1672532940,C,-27429.213941375874,89154.97326912759
1672533000,A,-149918.73161880675,-42328.49234348447
1672533000,B,-74992.83913701856,53397.984135535335
1672533000,C,-84967.95961954046,39966.57284557957
1672533060,A,-216724.37679789716,-4062.6733865272063
1672533060,B,-109414.0809630745,44823.061509969564
1672533060,C,-116222.09768411939,95620.96318534367
1672533120,A,-212886.84055902675,-46093.93495748479
1672533120,B,-118294.45911080288,-1511.407362280842
1672533120,C,-140927.02191686747,54541.808629078
