time,battery,phases,p_batt_a,p_batt_b,p_batt_c,soc
1704207002,house,B,0,5.0,0,37.05866709325065
1704207002,school,ABC,33.333333333,33.333333333,33.333333333,50.026394854289414
1704207032,house,B,0,-2.5,0,36.779451855054134
1704207032,school,ABC,-33.333333333,-33.333333333,-33.333333333,49.672324547083576
1704207062,house,B,0,-2.5,0,36.438100879418045
1704207062,school,ABC,-33.333333333,-33.333333333,-33.333333333,49.23492167081693
1704207092,house,B,0,-2.5,0,36.096749903781955
1704207092,school,ABC,-33.333333333,-33.333333333,-33.333333333,48.797518794550285
1704207122,house,B,0,-2.5,0,35.755398928145866
1704207122,school,ABC,-33.333333333,-33.333333333,-33.333333333,48.36011591828363
1704207152,house,B,0,-2.5,0,35.414047952509776
1704207152,school,ABC,-33.333333333,-33.333333333,-33.333333333,47.92271304201699
1704207182,house,B,0,-2.5,0,35.07269697687369
1704207182,school,ABC,-33.333333333,-33.333333333,-33.333333333,47.48531016575034
1704207212,house,B,0,-2.5,0,34.7313460012376
1704207212,school,ABC,-33.333333333,-33.333333333,-33.333333333,47.047907289483696
1704207242,house,B,0,-2.5,0,34.38999502560151
1704207242,school,ABC,-33.333333333,-33.333333333,-33.333333333,46.61050441321705
1704207272,house,B,0,-2.5,0,34.04864404996542
1704207272,school,ABC,-33.333333333,-33.333333333,-33.333333333,46.173101536950405
1704207302,house,B,0,-2.5,0,33.70729307432933
1704207302,school,ABC,-33.333333333,-33.333333333,-33.333333333,45.73569866068376
1704207332,house,B,0,-2.5,0,33.36594209869324
1704207332,school,ABC,-33.333333333,-33.333333333,-33.333333333,45.298295784417114
1704207362,house,B,0,-2.5,0,33.02459112305714
1704207362,school,ABC,-33.333333333,-33.333333333,-33.333333333,44.86089290815047
1704207392,house,B,0,-2.5,0,32.68324014742105
1704207392,school,ABC,-33.333333333,-33.333333333,-33.333333333,44.42349003188382
1704207002,battery2,ABC,66.666666667,66.666666667,66.666666667,40.01759656952627
1704207002,battery4,ABC,50.0,50.0,50.0,75.01583691257365
1704207002,battery3,ABC,33.333333333,33.333333333,33.333333333,35.0131974271447
1704207002,battery1,ABC,41.666666667,41.666666667,41.666666667,60.013197427144696
1704207002,battery5,ABC,83.333333333,83.333333333,83.333333333,55.017596569526276
1704207032,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207032,battery4,ABC,0.0,0.0,0.0,75.03959228143412
1704207032,battery3,ABC,-30.319289299,-30.319289299,-30.319289299,34.85434827903068
1704207032,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,59.836162273541674
1704207032,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207062,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207062,battery4,ABC,-36.678256555,-36.678256555,-36.678256555,74.86742384330306
1704207062,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
1704207062,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,59.61746083540827
1704207062,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207092,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207092,battery4,ABC,-37.059863467,-37.059863467,-37.059863467,74.67430292641949
1704207092,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
1704207092,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,59.39875939727486
1704207092,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207122,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207122,battery4,ABC,-37.067657795,-37.067657795,-37.067657795,74.48094225793568
1704207122,battery3,ABC,0.0,-0.0,0.0,34.83449880249389
1704207122,battery1,ABC,-41.666666667,-41.666666667,-41.666666667,59.18005795914145
1704207122,battery5,ABC,0.0,-0.0,0.0,55.043991423815676
1704207152,battery2,ABC,-0.0,0.0,0.0,40.04399142381567
1704207152,battery4,ABC,-46.989414225,-46.989414225,-46.989414225,74.23995110976057
