time,mrid,phase,p,q
1672531200,_903a0e85-6a11-4b8e-82cf-163376df7764,A,886585.704888,132191.344998
1672531200,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,670722.079782,-1288.5950249999999
1672531200,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,774563.959563,53648.179241
1672531260,_903a0e85-6a11-4b8e-82cf-163376df7764,A,849023.981868,354671.25344599993
1672531260,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,645977.08708,234567.53086800003
1672531260,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,745286.547732,284365.13873
1672531320,_903a0e85-6a11-4b8e-82cf-163376df7764,A,844971.8823370001,352111.747678
1672531320,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,643358.197353,232924.177001
1672531320,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,741953.119488,282358.561887
1672531380,_903a0e85-6a11-4b8e-82cf-163376df7764,A,820169.860263,336480.49759900005
1672531380,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,627332.278388,222882.142312
1672531380,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,721553.878147,270097.10631199996
1672531440,_903a0e85-6a11-4b8e-82cf-163376df7764,A,796427.050054,321574.48133400007
1672531440,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,611996.791871,213295.583766
1672531440,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,702034.855758,258390.61373699998
1672531500,_903a0e85-6a11-4b8e-82cf-163376df7764,A,775470.379997,308464.4736140001
1672531500,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,598465.7575770001,204855.509397
1672531500,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,684813.866424,248083.08839000002
1672531560,_903a0e85-6a11-4b8e-82cf-163376df7764,A,757334.063238,297154.18500099995
1672531560,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,586759.422491,197567.53424700003
1672531560,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,669916.173896,239181.800319
1672531620,_903a0e85-6a11-4b8e-82cf-163376df7764,A,741504.13125,287308.990178
1672531620,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,576544.568852,191218.633079
1672531620,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,656917.313962,231426.891152
1672531680,_903a0e85-6a11-4b8e-82cf-163376df7764,A,730406.8932309999,280422.0718089999
1672531680,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,569385.2128079999,186774.66795300003
1672531680,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,647807.102623,225998.47648800001
1672531740,_903a0e85-6a11-4b8e-82cf-163376df7764,A,721381.574601,274830.00084000005
1672531740,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,563563.4920249999,183164.538823
1672531740,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,640399.276107,221588.42122199998
1672531800,_903a0e85-6a11-4b8e-82cf-163376df7764,A,710963.6234470002,268385.107467
1672531800,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,556844.5122360002,179001.944475
1672531800,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,631850.0247690001,216503.272581
1672531860,_903a0e85-6a11-4b8e-82cf-163376df7764,A,703280.5347529999,263638.973951
1672531860,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,551890.0811,175935.23573900003
1672531860,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,625546.157084,212756.76151299998
1672531920,_903a0e85-6a11-4b8e-82cf-163376df7764,A,699412.602767,261251.781809
1672531920,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,549396.076664,174392.358773
1672531920,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,622372.622247,210871.982359
1672531980,_903a0e85-6a11-4b8e-82cf-163376df7764,A,701212.6216470001,262362.546522
1672531980,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,550556.695412,175110.281982
1672531980,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,623849.723705,211748.868074
1672532040,_903a0e85-6a11-4b8e-82cf-163376df7764,A,701742.013708,262689.266781
1672532040,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,550898.041154,175321.45454500004
1672532040,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,624283.942142,212006.90466300002
1672532100,_903a0e85-6a11-4b8e-82cf-163376df7764,A,695190.136317,258647.54792599997
1672532100,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,546673.656728,172708.82975199996
1672532100,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,618909.11278,208815.02348100004
1672532160,_903a0e85-6a11-4b8e-82cf-163376df7764,A,692994.161345,257293.820293
1672532160,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,545257.8783769999,171833.597076
1672532160,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,617107.62519,207745.808149
1672532220,_903a0e85-6a11-4b8e-82cf-163376df7764,A,690590.156615,255812.422502
1672532220,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,543708.039536,170875.700045
1672532220,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,615135.7470589998,206575.50416799998
1672532280,_903a0e85-6a11-4b8e-82cf-163376df7764,A,689686.413764,255255.67519800004
1672532280,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,543125.422026,170515.66258799998
1672532280,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,614394.583126,206135.574792
1672532340,_903a0e85-6a11-4b8e-82cf-163376df7764,A,690895.865536,256000.79823800002
1672532340,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,543905.1270399999,170997.49703099998
1672532340,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,615386.739596,206724.187373
1672532400,_903a0e85-6a11-4b8e-82cf-163376df7764,A,693181.858742,257409.53688099998
1672532400,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,545378.891706,171908.39643900003
1672532400,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,617261.892339,207837.03868599999
1672532460,_903a0e85-6a11-4b8e-82cf-163376df7764,A,694934.083288,258489.68253099997
1672532460,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,546508.574542,172606.76492000002
1672532460,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,618699.169114,208690.279645
1672532520,_903a0e85-6a11-4b8e-82cf-163376df7764,A,688397.784366,254461.96010600004
1672532520,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,542294.6927049999,170002.35606
1672532520,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,613337.734613,205508.39318799996
1672532580,_903a0e85-6a11-4b8e-82cf-163376df7764,A,689260.006895,254993.023587
1672532580,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,542850.533408,170345.80100800004
1672532580,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,614044.95879,205927.985274
1672532640,_903a0e85-6a11-4b8e-82cf-163376df7764,A,687941.853321,254181.152361
1672532640,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,542000.774021,169820.761036
1672532640,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,612963.675691,205286.58302900003
1672532700,_903a0e85-6a11-4b8e-82cf-163376df7764,A,685281.188973,252542.950688
1672532700,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,540285.6106,168761.216637
1672532700,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,610781.417805,203992.10237299997
1672532760,_903a0e85-6a11-4b8e-82cf-163376df7764,A,685894.0793519999,252920.270755
1672532760,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,540680.698656,169005.25617
1672532760,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,611284.287294,204290.15783900002
1672532820,_903a0e85-6a11-4b8e-82cf-163376df7764,A,684932.4911860002,252328.31684000004
1672532820,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,540060.834027,168622.379389
1672532820,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,610495.546974,203822.418188
1672532880,_903a0e85-6a11-4b8e-82cf-163376df7764,A,685950.405443,252954.94989600003
1672532880,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,540717.008474,169027.68482
1672532880,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,611330.509314,204317.547367
1672532940,_903a0e85-6a11-4b8e-82cf-163376df7764,A,686718.842116,253428.06029000005
1672532940,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,541212.368681,169333.68648999996
1672532940,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,611960.732029,204691.420654
1672533000,_903a0e85-6a11-4b8e-82cf-163376df7764,A,688242.232085,254366.160018
1672533000,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,542194.4163370001,169940.398786
1672533000,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,613210.22828,205432.65781300003
1672533060,_903a0e85-6a11-4b8e-82cf-163376df7764,A,682541.095254,250856.564625
1672533060,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,538519.319072,167670.374749
1672533060,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,608534.028068,202659.42159400007
1672533120,_903a0e85-6a11-4b8e-82cf-163376df7764,A,683592.430464,251528.693516
1672533120,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,539189.809999,168105.496274
1672533120,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,609386.596752,203190.30048500007
1672533180,_903a0e85-6a11-4b8e-82cf-163376df7764,A,682548.451161,250915.96667000002
1672533180,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,538508.341314,167709.565353
1672533180,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,608518.401579,202705.993866
1672533240,_903a0e85-6a11-4b8e-82cf-163376df7764,A,683388.7838940001,251421.649644
1672533240,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,539053.298617,168036.51383800004
1672533240,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,609212.259824,203105.635128
1672533300,_903a0e85-6a11-4b8e-82cf-163376df7764,A,683387.432203,251377.38817099997
1672533300,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,539064.8706539999,168007.26785499998
1672533300,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,609228.384651,203070.89606399997
1672533360,_903a0e85-6a11-4b8e-82cf-163376df7764,A,680983.810025,249898.49688100003
1672533360,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,537515.51641,167050.562642
1672533360,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,607257.131114,201902.03091
1672533420,_903a0e85-6a11-4b8e-82cf-163376df7764,A,681109.900103,249976.13580899997
1672533420,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,537596.790523,167100.744238
1672533420,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,607360.55584,201963.32846199998
1672533480,_903a0e85-6a11-4b8e-82cf-163376df7764,A,682757.040588,250989.48389800006
1672533480,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,538658.522764,167756.329285
1672533480,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,608711.5868680001,202764.205585
1672533540,_903a0e85-6a11-4b8e-82cf-163376df7764,A,680781.261636,249773.903288
1672533540,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,537384.958619,166969.954757
1672533540,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,607091.053779,201803.53058700002
1672533600,_903a0e85-6a11-4b8e-82cf-163376df7764,A,682457.9343309999,250805.440089
1672533600,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,538465.720255,167637.27138
1672533600,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,608466.291964,202618.740657
1672533660,_903a0e85-6a11-4b8e-82cf-163376df7764,A,679038.739593,248702.1626
1672533660,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,536261.784051,166276.56333900001
1672533660,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,605662.001675,200956.38505199997
1672533720,_903a0e85-6a11-4b8e-82cf-163376df7764,A,679451.91202,248956.27835200005
