time,mrid,phase,p,q
1672531200,_903a0e85-6a11-4b8e-82cf-163376df7764,A,886585.704888,132191.344998
1672531200,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,670722.079782,-1288.5950249999999
1672531200,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,774563.959563,53648.179241
1672531260,_903a0e85-6a11-4b8e-82cf-163376df7764,A,881214.044579,128707.85169500002
1672531260,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,667254.424918,-3507.526592
1672531260,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,770159.802149,50928.346382
1672531320,_903a0e85-6a11-4b8e-82cf-163376df7764,A,876951.1739359999,125945.339739
1672531320,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,664502.763831,-5267.524445
1672531320,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,766664.9988449999,48770.996668
1672531380,_903a0e85-6a11-4b8e-82cf-163376df7764,A,850858.718269,109074.301862
1672531380,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,647664.4589359999,-16022.629074999999
1672531380,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,745280.628044,35585.95042
1672531440,_903a0e85-6a11-4b8e-82cf-163376df7764,A,825880.003394,92984.03774600002
1672531440,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,631551.695509,-26290.414122000002
1672531440,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,724819.0692269999,22995.975087
1672531500,_903a0e85-6a11-4b8e-82cf-163376df7764,A,803831.980441,78830.85680599998
1672531500,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,617334.932004,-35330.648032000005
1672531500,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,706766.588384,11909.169241999998
1672531560,_903a0e85-6a11-4b8e-82cf-163376df7764,A,784750.8225549998,66619.379221
1672531560,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,605035.4084,-43137.16372099999
1672531560,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,691149.639882,2333.873062
1672531620,_903a0e85-6a11-4b8e-82cf-163376df7764,A,768095.928367,55988.807163000005
1672531620,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,594302.995178,-49938.021267
1672531620,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,677523.242863,-6009.032399999999
1672531680,_903a0e85-6a11-4b8e-82cf-163376df7764,A,756420.2146169998,48551.987711
1672531680,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,586780.92257,-54698.465683
1672531680,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,667973.247514,-11849.483704
1672531740,_903a0e85-6a11-4b8e-82cf-163376df7764,A,746924.331316,42513.093177
1672531740,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,580664.2719350001,-58565.770004
1672531740,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,660207.832538,-16594.54642
1672531800,_903a0e85-6a11-4b8e-82cf-163376df7764,A,735963.101155,35552.884706
1672531800,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,573604.926697,-63024.982429
1672531800,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,651245.9110860002,-22066.284632000006
1672531860,_903a0e85-6a11-4b8e-82cf-163376df7764,A,727879.28045,30427.025724
1672531860,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,568399.5311110001,-66310.278673
1672531860,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,644637.767645,-26097.823422000005
1672531920,_903a0e85-6a11-4b8e-82cf-163376df7764,A,723809.586006,27848.774639
1672531920,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,565779.200068,-67963.150998
1672531920,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,641311.048586,-28126.065296
1672531980,_903a0e85-6a11-4b8e-82cf-163376df7764,A,725703.49854,29048.436051
1672531980,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,566998.60468,-67194.040626
1672531980,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,642859.454015,-27182.422888
1672532040,_903a0e85-6a11-4b8e-82cf-163376df7764,A,726260.506456,29401.30995
1672532040,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,567357.241095,-66967.814744
1672532040,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,643314.6288,-26904.748426
1672532100,_903a0e85-6a11-4b8e-82cf-163376df7764,A,719366.8394880001,25036.029809000003
1672532100,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,562918.883692,-69766.709833
1672532100,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,637680.376199,-30339.630304000002
1672532160,_903a0e85-6a11-4b8e-82cf-163376df7764,A,717056.299661,23573.901795
1672532160,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,561431.396289,-70704.35362100002
1672532160,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,635791.934449,-31490.277571000002
1672532220,_903a0e85-6a11-4b8e-82cf-163376df7764,A,714526.869517,21973.855214000003
1672532220,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,559803.0583710001,-71730.55897400001
1672532220,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,633724.8832140001,-32749.725297000005
1672532280,_903a0e85-6a11-4b8e-82cf-163376df7764,A,713575.972708,21372.507738
1672532280,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,559190.931099,-72116.271015
1672532280,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,632947.94947,-33223.166966
1672532340,_903a0e85-6a11-4b8e-82cf-163376df7764,A,714848.5264239999,22177.310787999995
1672532340,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,560010.12687,-71600.07342599999
1672532340,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,633987.9953249999,-32589.710682999994
1672532400,_903a0e85-6a11-4b8e-82cf-163376df7764,A,717253.7867609999,23698.874533
1672532400,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,561558.537171,-70624.216842
1672532400,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,635953.654266,-31392.09215
1672532460,_903a0e85-6a11-4b8e-82cf-163376df7764,A,719097.427361,24865.519611
1672532460,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,562745.439276,-69876.05111
1672532460,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,637460.301128,-30473.871232
1672532520,_903a0e85-6a11-4b8e-82cf-163376df7764,A,712220.106303,20515.206930000004
1672532520,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,558318.125744,-72666.183762
1672532520,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,631840.094927,-33898.130777
1672532580,_903a0e85-6a11-4b8e-82cf-163376df7764,A,713127.316534,21088.811997000004
1672532580,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,558902.118913,-72298.24498
1672532580,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,632581.4532679999,-33446.569277
1672532640,_903a0e85-6a11-4b8e-82cf-163376df7764,A,711740.387141,20211.906541999997
1672532640,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,558009.321004,-72860.73120000001
1672532640,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,631447.979375,-34136.843421
1672532700,_903a0e85-6a11-4b8e-82cf-163376df7764,A,708940.892947,18442.452629
1672532700,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,556207.288026,-73995.845211
1672532700,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,629160.3948709999,-35529.96890199999
1672532760,_903a0e85-6a11-4b8e-82cf-163376df7764,A,709585.76194,18849.998683
1672532760,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,556622.385243,-73734.39728500001
1672532760,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,629687.539557,-35209.194453000004
1672532820,_903a0e85-6a11-4b8e-82cf-163376df7764,A,708573.998892,18210.616214
1672532820,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,555971.126366,-74144.583737
1672532820,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,628860.729273,-35712.582722
1672532880,_903a0e85-6a11-4b8e-82cf-163376df7764,A,709645.026871,18887.455558
1672532880,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,556660.5339450001,-73710.368633
1672532880,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,629735.99303,-35179.717099
1672532940,_903a0e85-6a11-4b8e-82cf-163376df7764,A,710453.560154,19398.473623000005
1672532940,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,557180.983334,-73382.542389
1672532940,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,630396.63248,-34777.35335900001
1672533000,_903a0e85-6a11-4b8e-82cf-163376df7764,A,712056.437132,20411.729032
1672533000,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,558212.769965,-72732.55881599999
1672533000,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,631706.435846,-33979.634714
1672533060,_903a0e85-6a11-4b8e-82cf-163376df7764,A,706057.818092,16620.932074999997
1672533060,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,554351.53943,-75164.496525
1672533060,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,626804.533841,-36964.229548
1672533120,_903a0e85-6a11-4b8e-82cf-163376df7764,A,707166.471094,17346.65989
1672533120,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,555057.949223,-74698.695673
1672533120,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,627700.6273419999,-36393.131800999996
1672533180,_903a0e85-6a11-4b8e-82cf-163376df7764,A,706070.9228230001,16684.535801000005
1672533180,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,554344.2863349998,-75123.298738
1672533180,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,626793.324182,-36914.659988
1672533240,_903a0e85-6a11-4b8e-82cf-163376df7764,A,706953.986846,17230.855362
1672533240,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,554915.951176,-74772.862432
1672533240,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,627519.596862,-36484.43660200001
1672533300,_903a0e85-6a11-4b8e-82cf-163376df7764,A,706948.316404,17183.480816
1672533300,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,554924.720188,-74803.56971199998
1672533300,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,627532.417354,-36521.388941
1672533360,_903a0e85-6a11-4b8e-82cf-163376df7764,A,704419.265572,15586.0689
1672533360,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,553296.896163,-75828.518737
1672533360,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,625466.014459,-37779.353401
1672533420,_903a0e85-6a11-4b8e-82cf-163376df7764,A,704551.93412,15669.929169000001
1672533420,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,553382.287446,-75774.757234
1672533420,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,625574.4333129999,-37713.384115
1672533480,_903a0e85-6a11-4b8e-82cf-163376df7764,A,706285.027731,16764.487191
1672533480,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,554497.790676,-75072.405269
1672533480,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,626990.67261,-36851.448425
1672533540,_903a0e85-6a11-4b8e-82cf-163376df7764,A,704206.1470100001,15451.487739000002
1672533540,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,553159.725923,-75914.876374
1672533540,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,625291.922338,-37885.362635
1672533600,_903a0e85-6a11-4b8e-82cf-163376df7764,A,705970.3131879999,16565.69335
1672533600,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,554295.223288,-75199.955608
1672533600,_971765b5-da69-4ea8-a0cb-d2b9613b8ee3,C,626733.5390350001,-37008.00168600001
1672533660,_903a0e85-6a11-4b8e-82cf-163376df7764,A,702372.690647,14293.840594
1672533660,_6d82c9d9-5f99-4356-8a8d-acda9cd6f17b,B,551979.667344,-76657.73280399998
